id;Cod.;Descrizione;Tipologia;Categoria;Sottocategoria;Cod. Udm;Cod. Iva;Listino 1;Listino 2;Listino 3;Formula listino 1;Formula listino 2;Formula listino 3;Note;Cod. a barre;Internet;Produttore;Extra 1;Extra 2;Extra 3;Extra 4;Cod. fornitore;Fornitore;Cod. prod. forn.;Prezzo forn.;Note fornitura;Ord. a multipli di;Gg. ordine;Scorta min.;Ubicazione;Tot. q.tà caricata;Tot. q.tà scaricata;Q.tà giacenza;Q.tà impegnata;Q.tà disponibile;Q.tà in arrivo;Vendita media mensile;Stima data fine magazz.;Stima data prossimo ordine;Data primo carico;Data ultimo carico;Data ultimo scarico;Costo medio d'acq.;Ultimo costo d'acq.;Prezzo medio vend.;Stato magazzino;Immagine
1;00488;Ruota girevole senza freno diametro 80mmn;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAF 16B RIP  POS  PIANO 5;7;2;5;0;5;0;0,07;06/11/2031;06/11/2031;30/10/2023;30/10/2023;28/11/2025;;;;Regolare;00488 -- 000 (476).jpg
2;UMIDIFICATORE-PORTATILE;Umidificatore portatile;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;beurer;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAFFALE 11 PIANO 6;2;1;1;0;1;0;0,02;03/03/2030;01/03/2030;25/01/2022;25/01/2022;25/01/2022;;;;Regolare;UMIDIFICATORE-PORTATILE -- 000 (317).jpeg
3;00563;accessori armadietti postazione operatore;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 18A RIP  POS  PIANO 1;3;0;3;0;3;0;0;;;10/02/2026;10/02/2026;;;;;Regolare;
4;00549;accessori aspirapolvere;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;scaffale 8 piano 4;1;0;1;0;1;0;0;;;05/12/2025;05/12/2025;;;;;Regolare;00549 -- 000 (731).jpg
5;00550;"Avvitatore a colonna magnetico
trapano colona portatile
CM3 F12/60/100mm-1800W-4V-MASCH.M30
Base regolabile di 20 mm
Assiale e 30° rotazione R+L";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;scaffale 17 B piano terra;0;0;0;0;0;0;0;;;;;;;;;Esaurito;00550 -- 000 (337).jpg
6;AVVITATORE;Avvitatore Bosch;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 1;3;0;3;0;3;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;AVVITATORE -- 000 (6).jpeg
7;SUPPORTO-CENTRAFORO-VERTICALE;base per foro verticale;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SUPPORTO-CENTRAFORO-VERTICALE -- 000 (32).jpeg
8;CALIBRO-CENT.-150;calibro digitale di precisione in acciaio borletti CDEP15 150 mm;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;2047;Di Emidio Srl;BOR.CDEP15;€ 47,52;;;0;0;;2;0;2;0;2;0;0;;;30/10/2024;30/10/2024;;€ 47,52;€ 47,52;;Regolare;CALIBRO-CENT -150 -- 000 (526).JPG
9;CARICABATTERIE-BOSH-18V;Casricabatteria Bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 3;2;0;2;0;2;0;0;;;22/09/2021;27/09/2021;;;;;Regolare;CARICABATTERIE-BOSH-18V -- 000 (16).jpeg
10;CAVO-RS232_HMI-TOUCH;Cavo per collegamento a HMI TOUCH SCREEN;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;CENTORAME;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAF 9 P4  POSTO 1/C;1;0;1;0;1;0;0;;;04/03/2024;04/03/2024;;;;;Regolare;
